DH001,Trà sữa,10,5.50,LH001,350000.00
DH001,Bánh ngọt,5,2.00,LH001,200000.00
DH002,Điện thoại Samsung,1,0.80,LH003,12000000.00
DH003,Áo khoác,3,1.50,LH004,900000.00
DH004,Trà sữa trân châu,15,3.50,LH001,450000.00
DH005,Điện thoại Xiaomi,1,0.80,LH003,8500000.00
DH006,Áo khoác nữ,2,1.50,LH004,900000.00
DH006,Váy hoa,1,0.50,LH004,350000.00
DH007,Cà phê hộp,10,2.00,LH001,350000.00
DH008,Tai nghe Bluetooth,2,0.40,LH003,1200000.00
DH009,Hồ sơ công ty,3,0.80,LH002,450000.00
DH010,Bánh mì sandwich,20,4.00,LH001,600000.00
DH011,Laptop Dell,1,2.50,LH003,22000000.00
DH012,Quần jean nữ,2,1.20,LH004,800000.00
DH013,Sách giáo khoa,5,2.50,LH002,450000.00
DH014,Cốc sứ,4,2.00,LH005,600000.00
DH015,Sạc dự phòng,2,0.60,LH003,600000.00
DH016,Cơm văn phòng hộp,5,5.00,LH001,400000.00
DH017,Giày thể thao nam,1,1.50,LH004,1200000.00
DH018,Trà sữa,10,2.50,LH001,300000.00
DH018,Bánh ngọt tổng hợp,5,1.50,LH001,250000.00
DH019,Chuột máy tính,2,0.40,LH003,500000.00
DH020,Hồ sơ pháp lý,2,0.60,LH002,300000.00
DH021,Áo phông nam,3,1.50,LH004,750000.00
DH022,Bình hoa thủy tinh,1,2.50,LH005,800000.00
DH023,Tài liệu in A4,30,0.30,LH002,150000.00
DH024,Cà phê túi,12,2.40,LH001,480000.00
DH025,Tai nghe có dây,1,0.20,LH003,450000.00
DH026,Váy công sở,2,1.00,LH004,1200000.00
DH027,Sách chuyên ngành,3,1.50,LH002,750000.00
DH028,Gương trang trí,1,3.50,LH005,1500000.00
DH029,Điện thoại iPhone,1,0.90,LH003,18000000.00
DH030,Cơm hộp,8,8.00,LH001,640000.00
DH031,Giày cao gót,1,1.20,LH004,1500000.00
DH032,Bánh mì que,25,5.00,LH001,500000.00
DH033,Laptop Lenovo,1,2.30,LH003,18000000.00
DH034,Quần tây nam,2,1.60,LH004,900000.00
DH035,Sách giáo khoa cấp 2,4,2.00,LH002,400000.00
DH036,Trà sữa trân châu,12,3.00,LH001,480000.00
DH037,Cốc thủy tinh bộ 6,1,3.00,LH005,450000.00
DH038,Điện thoại Oppo,1,0.85,LH003,7500000.00
DH039,Áo dài,2,1.20,LH004,1800000.00
DH040,Hồ sơ xin việc,5,1.00,LH002,250000.00
DH041,Cà phê sữa đá,10,2.00,LH001,500000.00
DH041,Bánh cupcake,6,1.80,LH001,360000.00
DH042,Sạc điện thoại,3,0.60,LH003,450000.00
DH043,Túi xách da,1,1.50,LH004,2500000.00
DH044,Xôi gà,8,8.00,LH001,640000.00
DH045,Chuột gaming,1,0.50,LH003,800000.00
DH046,Áo khoác nam,1,1.20,LH004,1200000.00
DH046,Quần jogger,2,1.40,LH004,800000.00
DH047,Bình gốm trang trí,2,4.00,LH005,1200000.00
DH048,Trà sữa matcha,15,3.50,LH001,600000.00
DH049,Tài liệu kế toán,10,0.50,LH002,200000.00
DH050,Điện thoại Vivo,1,0.75,LH003,6500000.00
DH051,Giày sneaker,2,2.50,LH004,2800000.00
DH052,Cơm văn phòng hộp,6,6.00,LH001,480000.00
DH053,Tai nghe Sony,1,0.35,LH003,2500000.00
DH054,Chén đĩa bộ 12,1,4.50,LH005,600000.00
DH055,Váy mùa hè,3,1.50,LH004,1500000.00
DH056,Sách lập trình Python,2,1.00,LH002,500000.00
DH057,Cà phê Arabica,8,1.60,LH001,640000.00
DH058,Laptop HP,1,2.40,LH003,20000000.00
DH059,Quần short nam,3,1.80,LH004,900000.00
DH060,Trà sữa brown sugar,20,5.00,LH001,800000.00
DH061,Chuột không dây,2,0.60,LH003,700000.00
DH062,Hồ sơ học sinh,3,0.90,LH002,300000.00
DH063,Áo thun in,4,2.00,LH004,1000000.00
DH064,Bình hoa sứ,1,2.00,LH005,600000.00
DH065,Bánh mì hotdog,15,4.50,LH001,450000.00
DH066,Điện thoại Samsung Galaxy,1,0.95,LH003,12000000.00
DH067,Túi vải canvas,3,1.50,LH004,900000.00
DH068,Sách thiếu nhi,5,2.50,LH002,500000.00
DH069,Cơm chiên trứng,10,10.00,LH001,800000.00
DH070,Đĩa thủy tinh bộ 6,1,3.50,LH005,500000.00
DH071,Sạc nhanh 65W,2,0.50,LH003,800000.00
DH072,Váy dự tiệc,1,0.80,LH004,2500000.00
DH073,Cà phê cold brew,12,2.40,LH001,600000.00
DH074,Áo sơ mi trắng,3,1.80,LH004,1200000.00
DH075,Gương soi toàn thân,1,4.50,LH005,2000000.00
DH076,Điện thoại Realme,1,0.80,LH003,5500000.00
DH077,Trà sữa thái,18,4.50,LH001,720000.00
DH078,Sách văn học,4,2.00,LH002,600000.00
DH079,Quần kaki,2,1.60,LH004,1000000.00
DH080,Tai nghe JBL,1,0.40,LH003,1800000.00
DH080,Chuột Logitech,1,0.30,LH003,650000.00
DH081,Bánh ngọt tổng hợp,10,4.00,LH001,800000.00
DH082,Giày Oxford,1,1.50,LH004,3500000.00
DH083,Hồ sơ doanh nghiệp,4,1.20,LH002,600000.00
DH084,Xôi xéo,6,6.00,LH001,480000.00
DH085,Bình thủy tinh cao cấp,2,5.00,LH005,1200000.00
DH086,Điện thoại Tecno,1,0.70,LH003,4500000.00
DH087,Trà sữa truyền thống,15,3.50,LH001,525000.00
DH088,Áo khoác hoodie,2,2.00,LH004,1400000.00
DH089,Cốc sứ in tên,3,1.50,LH005,450000.00
DH090,Sách tiếng Anh,3,1.50,LH002,750000.00
DH091,Cơm tấm hộp,8,8.00,LH001,640000.00
DH092,Sạc không dây,2,0.50,LH003,700000.00
DH093,Váy chữ A,2,1.00,LH004,1600000.00
DH094,Tai nghe AirPods,1,0.25,LH003,4500000.00
DH095,Bánh mì nướng,20,5.00,LH001,600000.00
DH096,Gương mini,2,2.00,LH005,800000.00
DH097,Quần âu nữ,2,1.40,LH004,1200000.00
DH098,Hồ sơ nhà đất,2,0.80,LH002,400000.00
DH099,Cà phê rang xay,10,2.00,LH001,700000.00
DH100,Giày dép trẻ em,3,2.00,LH004,900000.00
